record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,MET,000001,MET000001,3,I,0,9400ZZMAAUL2,,00:05:00,9400ZZMAAWT2,00:07:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMAAWT2,00:07:00,00:07:00,9400ZZMAAMO2,00:10:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMAAMO2,00:10:00,00:10:00,9400ZZMAAUD2,00:12:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMAAUD2,00:12:00,00:12:00,9400ZZMADRO2,00:15:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMADRO2,00:15:00,00:15:00,9400ZZMACEM2,00:17:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMACEM2,00:17:00,00:17:00,9400ZZMAELN2,00:19:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMAELN2,00:19:00,00:19:00,9400ZZMACLN2,00:21:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMACLN2,00:21:00,00:21:00,9400ZZMAVPK2,00:24:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMAVPK2,00:24:00,00:24:00,9400ZZMAECS2,00:26:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMAECS2,00:26:00,00:26:00,9400ZZMAHTN2,00:28:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
QI,MET,000001,MET000001,3,I,0,9400ZZMAHTN2,00:28:00,00:28:00,9400ZZMANIS2,00:30:00,0,1,1,1,1,0,0,2018-04-04,20991231,0,B,X,999999,METRO,99999999,,F0,T1
