record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,STO,000001,STO000001,407,I,0,1800ED12491,,06:36:00,1800ED12481,06:36:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,STO,000001,STO000001,407,I,0,1800ED12481,06:36:00,06:36:00,1800ED12501,06:36:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12501,06:36:00,06:36:00,1800ED12521,06:36:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12521,06:36:00,06:36:00,1800ED12541,06:37:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12541,06:37:00,06:37:00,1800ED12561,06:37:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12561,06:37:00,06:37:00,1800ED12581,06:39:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12581,06:39:00,06:39:00,1800ED12591,06:39:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12591,06:39:00,06:39:00,1800ED12621,06:40:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12621,06:40:00,06:40:00,1800ED12641,06:40:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12641,06:40:00,06:40:00,1800ED12651,06:41:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12651,06:41:00,06:41:00,1800ED10101,06:42:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED10101,06:42:00,06:42:00,1800ED12911,06:43:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12911,06:43:00,06:43:00,1800ED12881,06:44:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,STO,000001,STO000001,407,I,0,1800ED12881,06:44:00,06:44:00,1800ED12861,06:45:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED12861,06:45:00,06:45:00,1800ED30531,06:47:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED30531,06:47:00,06:47:00,1800ED30511,06:47:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,STO,000001,STO000001,407,I,0,1800ED30511,06:47:00,06:47:00,1800ED10991,06:48:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED10991,06:48:00,06:48:00,1800ED10981,06:48:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED10981,06:48:00,06:48:00,1800ED10911,06:49:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED10911,06:49:00,06:49:00,1800ED10941,06:50:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED10941,06:50:00,06:50:00,1800ED10921,06:50:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED10921,06:50:00,06:50:00,1800ED48061,06:52:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED48061,06:52:00,06:52:00,1800ED48071,06:52:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED48071,06:52:00,06:52:00,1800ED15931,06:52:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED15931,06:52:00,06:52:00,1800ED15111,06:54:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED15111,06:54:00,06:54:00,1800ED15191,06:55:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,STO,000001,STO000001,407,I,0,1800ED15191,06:55:00,06:55:00,1800ED15031,06:56:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED15031,06:56:00,06:56:00,1800ED10351,06:57:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000001,STO000001,407,I,0,1800ED10351,06:57:00,06:57:00,1800OMBS001,06:59:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,STO,000001,STO000001,407,I,0,1800OMBS001,06:59:00,,,,1,1,1,1,1,0,0,2017-09-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,STO,000002,STO000002,407,I,0,1800ED12491,,07:34:00,1800ED12481,07:34:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,STO,000002,STO000002,407,I,0,1800ED12481,07:34:00,07:34:00,1800ED12501,07:34:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12501,07:34:00,07:34:00,1800ED12521,07:34:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12521,07:34:00,07:34:00,1800ED12541,07:35:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12541,07:35:00,07:35:00,1800ED12561,07:35:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12561,07:35:00,07:35:00,1800ED12581,07:37:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12581,07:37:00,07:37:00,1800ED12591,07:37:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12591,07:37:00,07:37:00,1800ED12621,07:38:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12621,07:38:00,07:38:00,1800ED12641,07:38:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12641,07:38:00,07:38:00,1800ED12651,07:39:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12651,07:39:00,07:39:00,1800ED10101,07:40:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED10101,07:40:00,07:40:00,1800ED12911,07:41:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12911,07:41:00,07:41:00,1800ED12881,07:42:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,STO,000002,STO000002,407,I,0,1800ED12881,07:42:00,07:42:00,1800ED12861,07:43:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED12861,07:43:00,07:43:00,1800ED30531,07:45:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED30531,07:45:00,07:45:00,1800ED30511,07:45:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,STO,000002,STO000002,407,I,0,1800ED30511,07:45:00,07:45:00,1800ED10991,07:46:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED10991,07:46:00,07:46:00,1800ED10981,07:47:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED10981,07:47:00,07:47:00,1800ED10911,07:48:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED10911,07:48:00,07:48:00,1800ED10941,07:49:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED10941,07:49:00,07:49:00,1800ED10921,07:50:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED10921,07:50:00,07:50:00,1800ED48061,07:52:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED48061,07:52:00,07:52:00,1800ED48071,07:52:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED48071,07:52:00,07:52:00,1800ED15931,07:53:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED15931,07:53:00,07:53:00,1800ED15111,07:55:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED15111,07:55:00,07:55:00,1800ED15191,07:56:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,STO,000002,STO000002,407,I,0,1800ED15191,07:56:00,07:56:00,1800ED15031,07:58:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED15031,07:58:00,07:58:00,1800ED10351,08:00:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000002,STO000002,407,I,0,1800ED10351,08:00:00,08:00:00,1800OMBS001,08:02:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,STO,000002,STO000002,407,I,0,1800OMBS001,08:02:00,,,,1,1,1,1,1,0,0,2017-09-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,STO,000003,STO000003,407,I,0,1800ED12491,,08:37:00,1800ED12481,08:37:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,STO,000003,STO000003,407,I,0,1800ED12481,08:37:00,08:37:00,1800ED12501,08:37:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12501,08:37:00,08:37:00,1800ED12521,08:37:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12521,08:37:00,08:37:00,1800ED12541,08:38:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12541,08:38:00,08:38:00,1800ED12561,08:38:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12561,08:38:00,08:38:00,1800ED12581,08:40:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12581,08:40:00,08:40:00,1800ED12591,08:40:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12591,08:40:00,08:40:00,1800ED12621,08:41:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12621,08:41:00,08:41:00,1800ED12641,08:41:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12641,08:41:00,08:41:00,1800ED12651,08:42:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12651,08:42:00,08:42:00,1800ED10101,08:43:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED10101,08:43:00,08:43:00,1800ED12911,08:44:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12911,08:44:00,08:44:00,1800ED12881,08:45:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,STO,000003,STO000003,407,I,0,1800ED12881,08:45:00,08:45:00,1800ED12861,08:46:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED12861,08:46:00,08:46:00,1800ED30531,08:48:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED30531,08:48:00,08:48:00,1800ED30511,08:48:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,STO,000003,STO000003,407,I,0,1800ED30511,08:48:00,08:48:00,1800ED10991,08:49:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED10991,08:49:00,08:49:00,1800ED10981,08:50:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED10981,08:50:00,08:50:00,1800ED10911,08:51:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED10911,08:51:00,08:51:00,1800ED10941,08:53:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED10941,08:53:00,08:53:00,1800ED10921,08:54:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,STO,000003,STO000003,407,I,0,1800ED10921,08:54:00,08:54:00,1800ED48061,08:55:00,1,1,1,1,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
