record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,WBT,000001,WBT000001,CAT5,I,0,069000022450,,06:25:00,069000022540,06:26:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000022540,06:26:00,06:26:00,069000022545,06:26:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000022545,06:26:00,06:26:00,069000022560,06:27:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022560,06:27:00,06:27:00,069000022570,06:28:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022570,06:28:00,06:28:00,069000022595,06:30:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022595,06:30:00,06:30:00,069000022630,06:32:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000022630,06:32:00,06:32:00,069000013280,06:32:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000013280,06:32:00,06:32:00,069000022680,06:33:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022680,06:33:00,06:33:00,069000022690,06:34:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022690,06:34:00,06:34:00,069000022700,06:34:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000022700,06:34:00,06:34:00,069000022740,06:35:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022740,06:35:00,06:35:00,069000022750,06:36:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022750,06:36:00,06:36:00,069000022760,06:36:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022760,06:36:00,06:36:00,069000022765,06:37:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022765,06:37:00,06:37:00,069000022770,06:39:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000022770,06:39:00,06:39:00,069000022780,06:40:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000022780,06:40:00,06:40:00,069000022790,06:41:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022790,06:41:00,06:41:00,069000022795,06:42:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000022795,06:42:00,06:42:00,069000022980,06:43:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000022980,06:43:00,06:43:00,069000023985,06:43:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000023985,06:43:00,06:43:00,069000023000,06:44:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000023000,06:44:00,06:44:00,069000023005,06:45:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000023005,06:45:00,06:45:00,069000023428,06:46:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000023428,06:46:00,06:46:00,069000023430,06:47:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000023430,06:47:00,06:47:00,069000023440,06:48:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000023440,06:48:00,06:48:00,069000023530,06:49:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000023530,06:49:00,06:49:00,069000023540,06:51:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000023540,06:51:00,06:51:00,069000023550,06:52:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,069000023550,06:52:00,06:52:00,069000023520,06:53:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000023520,06:53:00,06:53:00,069000070370,06:55:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000001,WBT000001,CAT5,I,0,069000070370,06:55:00,06:55:00,0690WNA02794,06:56:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000001,WBT000001,CAT5,I,0,0690WNA02794,06:56:00,06:56:00,0690WNA02860,07:00:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QT,WBT,000001,WBT000001,CAT5,I,0,0690WNA02860,07:00:00,,,,1,1,1,1,1,0,0,2018-04-09,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,WBT,000002,WBT000002,CAT5,I,0,069000022450,,06:53:00,069000022540,06:54:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,WBT,000002,WBT000002,CAT5,I,0,069000022540,06:54:00,06:54:00,069000022545,06:54:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000002,WBT000002,CAT5,I,0,069000022545,06:54:00,06:54:00,069000022560,06:55:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022560,06:55:00,06:55:00,069000022570,06:56:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022570,06:56:00,06:56:00,069000022595,06:58:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022595,06:58:00,06:58:00,069000022630,07:00:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000002,WBT000002,CAT5,I,0,069000022630,07:00:00,07:00:00,069000013280,07:01:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000013280,07:01:00,07:01:00,069000022680,07:02:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022680,07:02:00,07:02:00,069000022690,07:03:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022690,07:03:00,07:03:00,069000022700,07:03:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000002,WBT000002,CAT5,I,0,069000022700,07:03:00,07:03:00,069000022740,07:04:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022740,07:04:00,07:04:00,069000022750,07:05:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022750,07:05:00,07:05:00,069000022760,07:05:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022760,07:05:00,07:05:00,069000022765,07:06:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022765,07:06:00,07:06:00,069000022770,07:08:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000002,WBT000002,CAT5,I,0,069000022770,07:08:00,07:08:00,069000022780,07:09:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000002,WBT000002,CAT5,I,0,069000022780,07:09:00,07:09:00,069000022790,07:10:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022790,07:10:00,07:10:00,069000022795,07:11:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000022795,07:11:00,07:11:00,069000022980,07:12:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000002,WBT000002,CAT5,I,0,069000022980,07:12:00,07:12:00,069000023985,07:12:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000023985,07:12:00,07:12:00,069000023000,07:13:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000002,WBT000002,CAT5,I,0,069000023000,07:13:00,07:13:00,069000023005,07:14:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
