record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,WBT,000003,WBT000003,CC5A,I,0,1800AMIC001,,09:21:00,1800SJ11251,09:22:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,,X,999999,BUS,99999999,E,F0,T1
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ11251,09:22:00,09:22:00,1800SJ11221,09:23:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ11221,09:23:00,09:23:00,1800SJ11201,09:24:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ11201,09:24:00,09:24:00,1800SJ48441,09:25:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48441,09:25:00,09:25:00,1800SJ18501,09:27:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ18501,09:27:00,09:27:00,1800SJ18511,09:29:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ18511,09:29:00,09:29:00,1800SJ48391,09:30:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48391,09:30:00,09:30:00,1800SJ48401,09:30:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48401,09:30:00,09:30:00,1800SJ48411,09:31:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48411,09:31:00,09:31:00,1800SJH1161,09:31:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJH1161,09:31:00,09:31:00,1800SJH1171,09:33:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJH1171,09:33:00,09:33:00,1800SJ16971,09:35:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ16971,09:35:00,09:35:00,1800SJ47971,09:42:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ47971,09:42:00,09:42:00,1800SJ48331,09:43:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48331,09:43:00,09:43:00,1800SJ47981,09:43:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ47981,09:43:00,09:43:00,1800SJ48081,09:44:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48081,09:44:00,09:44:00,1800SJH0561,09:44:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJH0561,09:44:00,09:44:00,1800SJ48261,09:45:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48261,09:45:00,09:45:00,1800SJ48301,09:45:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48301,09:45:00,09:45:00,1800SJ48311,09:46:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48311,09:46:00,09:46:00,1800SJ48321,09:46:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48321,09:46:00,09:46:00,1800SJ48341,09:47:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48341,09:47:00,09:47:00,1800SJ48351,09:47:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ48351,09:47:00,09:47:00,1800SJ18571,09:50:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,1800SJ18571,09:50:00,09:50:00,069000022390,09:51:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,WBT,000003,WBT000003,CC5A,I,0,069000022390,09:51:00,09:51:00,069000022400,09:52:00,1,1,1,1,1,0,0,2018-04-09,20991231,0,B,X,999999,BUS,99999999,,F0,T0
