record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,ELI,000001,ELI000001,HD1,I,0,1800AMIC001,,09:15:00,1800SJ40891,09:19:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,,X,999999,BUS,99999999,A,F0,T1
QI,ELI,000001,ELI000001,HD1,I,0,1800SJ40891,09:19:00,09:19:00,1800SJ40921,09:22:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,ELI,000001,ELI000001,HD1,I,0,1800SJ40921,09:22:00,09:22:00,1800SB41881,09:26:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,ELI,000001,ELI000001,HD1,I,0,1800SB41881,09:26:00,09:26:00,1800SB12841,09:32:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,ELI,000001,ELI000001,HD1,I,0,1800SB12841,09:32:00,09:32:00,1800SG19241,09:36:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,ELI,000001,ELI000001,HD1,I,0,1800SG19241,09:36:00,09:36:00,1800SG05131,09:40:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,ELI,000001,ELI000001,HD1,I,0,1800SG05131,09:40:00,09:40:00,1800SG44961,09:46:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,ELI,000001,ELI000001,HD1,I,0,1800SG44961,09:46:00,09:46:00,1800SG34491,09:47:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,ELI,000001,ELI000001,HD1,I,0,1800SG34491,09:47:00,09:47:00,1800SG05521,09:49:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,ELI,000001,ELI000001,HD1,I,0,1800SG05521,09:49:00,09:49:00,1800SG05481,09:51:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,ELI,000001,ELI000001,HD1,I,0,1800SG05481,09:51:00,09:51:00,1800SG35011,09:53:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,ELI,000001,ELI000001,HD1,I,0,1800SG35011,09:53:00,09:53:00,0600MA17439,09:57:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,ELI,000001,ELI000001,HD1,I,0,0600MA17439,09:57:00,,,,0,0,1,0,0,0,0,2018-01-02,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,ELI,000002,ELI000002,HD1,I,0,1800AMIC001,,10:45:00,1800SJ40891,10:49:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,,X,999999,BUS,99999999,A,F0,T1
QI,ELI,000002,ELI000002,HD1,I,0,1800SJ40891,10:49:00,10:49:00,1800SJ40921,10:52:00,0,0,1,0,0,0,0,2018-01-02,20991231,0,B,X,999999,BUS,99999999,,F0,T0
