record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,TAS,000001,TAS000001,TA02,I,0,2580DAW0104,,09:30:00,2580DAW0046,09:30:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0046,09:30:00,09:30:00,2580DAW0068,09:31:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0068,09:31:00,09:31:00,2580DAW0072,09:31:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0072,09:31:00,09:31:00,2580DAW0026,09:31:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0026,09:31:00,09:31:00,2580DAW0065,09:32:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0065,09:32:00,09:32:00,2580DAW0032,09:32:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0032,09:32:00,09:32:00,2580DAW0060,09:32:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0060,09:32:00,09:32:00,2580DAW0113,09:32:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0113,09:32:00,09:32:00,2580DAW0051,09:33:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0051,09:33:00,09:33:00,2580DAW0020,09:33:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0020,09:33:00,09:33:00,2580DAW0028,09:34:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0028,09:34:00,09:34:00,2580DAW0013,09:34:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,2580DAW0013,09:34:00,09:34:00,2580CAD0001,09:35:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580CAD0001,09:35:00,09:35:00,1800WA02081,09:38:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA02081,09:38:00,09:38:00,1800WA00801,09:38:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA00801,09:38:00,09:38:00,1800WA03971,09:39:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA03971,09:39:00,09:39:00,1800WA18831,09:39:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,1800WA18831,09:39:00,09:39:00,1800WA18851,09:39:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA18851,09:39:00,09:39:00,1800WA18871,09:39:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA18871,09:39:00,09:39:00,1800WA18911,09:39:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA18911,09:39:00,09:39:00,1800WA18941,09:39:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,1800WA18941,09:39:00,09:39:00,1800WA18951,09:39:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA18951,09:39:00,09:39:00,1800WA18981,09:39:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA18981,09:39:00,09:39:00,1800WA18991,09:40:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA18991,09:40:00,09:40:00,1800WA08871,09:41:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,1800WA08871,09:41:00,09:41:00,1800WA05021,09:42:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA05021,09:42:00,09:42:00,1800WA13061,09:42:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,1800WA13061,09:42:00,09:42:00,1800WA13081,09:42:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA13081,09:42:00,09:42:00,1800WA13101,09:42:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,1800WA13101,09:42:00,09:42:00,2580TUR0003,09:42:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580TUR0003,09:42:00,09:42:00,2580TUR0002,09:42:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580TUR0002,09:42:00,09:42:00,2580CPT0007,09:42:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580CPT0007,09:42:00,09:42:00,2580CPT0001,09:43:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580CPT0001,09:43:00,09:43:00,2580CPT0003,09:45:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,2580CPT0003,09:45:00,09:45:00,2580TBT0002,09:46:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,TAS,000001,TAS000001,TA02,I,0,2580TBT0002,09:46:00,09:46:00,2580TBT0004,09:46:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,TAS,000001,TAS000001,TA02,I,0,2580TBT0004,09:46:00,09:46:00,2580TBT0006,09:47:00,0,0,1,0,1,0,0,2017-09-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
