record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,HGP,000001,HGP000001,TP,I,0,1090BSTN01,,06:45:00,100000022178,07:05:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,HGP,000001,HGP000001,TP,I,0,100000022178,07:05:00,07:05:00,1000DADR1124,07:13:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000001,HGP000001,TP,I,0,1000DADR1124,07:13:00,07:13:00,1000DMBS2456,07:22:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000001,HGP000001,TP,I,0,1000DMBS2456,07:22:00,07:22:00,100051711,07:30:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QT,HGP,000001,HGP000001,TP,I,0,100051711,07:30:00,,,,1,1,1,1,1,0,0,2017-10-16,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,HGP,000003,HGP000003,TP,I,0,1090BSTN01,,08:50:00,100000022178,09:10:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,100000022178,09:10:00,09:10:00,1000DADR1124,09:18:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,1000DADR1124,09:18:00,09:18:00,1000DMBS2456,09:27:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,1000DMBS2456,09:27:00,09:27:00,100051711,09:37:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,100051711,09:37:00,09:37:00,1000DDDL3172,09:47:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,1000DDDL3172,09:47:00,09:47:00,1000DRDR3375,09:50:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,1000DRDR3375,09:50:00,09:50:00,1000DRDR3376,09:50:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,1000DRDR3376,09:50:00,09:50:00,1000DBBRSA98,09:59:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,HGP,000003,HGP000003,TP,I,0,1000DBBRSA98,09:59:00,09:59:00,1000DANRO099,10:04:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,1000DANRO099,10:04:00,10:04:00,1000DTMR3387,10:13:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,1000DTMR3387,10:13:00,10:13:00,1000DBMP2580,10:28:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000003,HGP000003,TP,I,0,1000DBMP2580,10:28:00,10:28:00,1000DBSR2132,10:29:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QT,HGP,000003,HGP000003,TP,I,0,1000DBSR2132,10:29:00,,,,1,1,1,1,1,0,0,2017-10-16,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,HGP,000004,HGP000004,TP,I,0,1090BSTN01,,09:50:00,100000022178,10:10:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,HGP,000004,HGP000004,TP,I,0,100000022178,10:10:00,10:10:00,1000DADR1124,10:18:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000004,HGP000004,TP,I,0,1000DADR1124,10:18:00,10:18:00,1000DMBS2456,10:27:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000004,HGP000004,TP,I,0,1000DMBS2456,10:27:00,10:27:00,100051711,10:37:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,HGP,000004,HGP000004,TP,I,0,100051711,10:37:00,10:37:00,1000DDDL3172,10:47:00,1,1,1,1,1,0,0,2017-10-16,20991231,0,B,X,999999,BUS,99999999,,F0,T1
