record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,GTB,000005,GTB000005,VH1,C,1,1800NF10391,,09:00:00,1800NF27871,09:01:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,GTB,000005,GTB000005,VH1,C,1,1800NF27871,09:01:00,09:01:00,1800NF27881,09:02:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000005,GTB000005,VH1,C,1,1800NF27881,09:02:00,09:02:00,1800NF27921,09:03:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000005,GTB000005,VH1,C,1,1800NF27921,09:03:00,09:03:00,1800NF27941,09:03:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000005,GTB000005,VH1,C,1,1800NF27941,09:03:00,09:03:00,1800WF39841,09:05:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000005,GTB000005,VH1,C,1,1800WF39841,09:05:00,09:05:00,1800WK09171,09:06:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,GTB,000005,GTB000005,VH1,C,1,1800WK09171,09:06:00,09:06:00,1800WK06101,09:07:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000005,GTB000005,VH1,C,1,1800WK06101,09:07:00,09:07:00,1800WK31821,09:09:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000005,GTB000005,VH1,C,1,1800WK31821,09:09:00,09:09:00,1800NF04571,09:11:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,GTB,000005,GTB000005,VH1,C,1,1800NF04571,09:11:00,09:11:00,1800NF27841,09:14:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000005,GTB000005,VH1,C,1,1800NF27841,09:14:00,09:14:00,1800NF27871,09:14:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,GTB,000005,GTB000005,VH1,C,1,1800NF27871,09:14:00,09:14:00,1800NF27881,09:16:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000005,GTB000005,VH1,C,1,1800NF27881,09:16:00,09:16:00,1800NF10391,09:20:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,GTB,000005,GTB000005,VH1,C,1,1800NF10391,09:20:00,,,,1,1,1,1,1,0,0,2017-01-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,GTB,000006,GTB000006,VH1,C,1,1800NF10391,,09:30:00,1800NF27871,09:31:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,GTB,000006,GTB000006,VH1,C,1,1800NF27871,09:31:00,09:31:00,1800NF27881,09:32:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000006,GTB000006,VH1,C,1,1800NF27881,09:32:00,09:32:00,1800NF27921,09:33:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000006,GTB000006,VH1,C,1,1800NF27921,09:33:00,09:33:00,1800NF27941,09:33:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000006,GTB000006,VH1,C,1,1800NF27941,09:33:00,09:33:00,1800WF39841,09:35:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000006,GTB000006,VH1,C,1,1800WF39841,09:35:00,09:35:00,1800WK09171,09:36:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,GTB,000006,GTB000006,VH1,C,1,1800WK09171,09:36:00,09:36:00,1800WK06101,09:37:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000006,GTB000006,VH1,C,1,1800WK06101,09:37:00,09:37:00,1800WK31821,09:39:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,GTB,000006,GTB000006,VH1,C,1,1800WK31821,09:39:00,09:39:00,1800NF04571,09:41:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,GTB,000006,GTB000006,VH1,C,1,1800NF04571,09:41:00,09:41:00,1800NF27841,09:44:00,1,1,1,1,1,0,0,2017-01-03,20991231,0,B,X,999999,BUS,99999999,,F0,T0
