record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,BPT,000001,BPT000001,ZAP,I,0,450030241,,06:30:00,450029849,06:55:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,BPT,000001,BPT000001,ZAP,I,0,450029849,06:55:00,06:55:00,450026982,06:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000001,BPT000001,ZAP,I,0,450026982,06:56:00,06:56:00,450022739,06:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000001,BPT000001,ZAP,I,0,450022739,06:56:00,06:56:00,450022737,06:57:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000001,BPT000001,ZAP,I,0,450022737,06:57:00,06:57:00,1800ED19791,07:25:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000001,BPT000001,ZAP,I,0,1800ED19791,07:25:00,07:25:00,1800EB17951,07:55:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000001,BPT000001,ZAP,I,0,1800EB17951,07:55:00,07:55:00,1800SB06501,07:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,BPT,000001,BPT000001,ZAP,I,0,1800SB06501,07:56:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,BPT,000002,BPT000002,ZAP,I,0,450030241,,07:00:00,450029849,07:25:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,BPT,000002,BPT000002,ZAP,I,0,450029849,07:25:00,07:25:00,450026982,07:26:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000002,BPT000002,ZAP,I,0,450026982,07:26:00,07:26:00,450022739,07:26:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000002,BPT000002,ZAP,I,0,450022739,07:26:00,07:26:00,450022737,07:27:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000002,BPT000002,ZAP,I,0,450022737,07:27:00,07:27:00,1800ED19791,08:00:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000002,BPT000002,ZAP,I,0,1800ED19791,08:00:00,08:00:00,1800EB17951,08:43:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000002,BPT000002,ZAP,I,0,1800EB17951,08:43:00,08:43:00,1800SB06501,08:45:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,BPT,000002,BPT000002,ZAP,I,0,1800SB06501,08:45:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,BPT,000003,BPT000003,ZAP,I,0,450030241,,08:15:00,450029849,08:47:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,BPT,000003,BPT000003,ZAP,I,0,450029849,08:47:00,08:47:00,450026982,08:48:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000003,BPT000003,ZAP,I,0,450026982,08:48:00,08:48:00,450022739,08:48:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000003,BPT000003,ZAP,I,0,450022739,08:48:00,08:48:00,450022737,08:49:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000003,BPT000003,ZAP,I,0,450022737,08:49:00,08:49:00,1800ED19791,09:20:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000003,BPT000003,ZAP,I,0,1800ED19791,09:20:00,09:20:00,1800EB17951,09:49:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000003,BPT000003,ZAP,I,0,1800EB17951,09:49:00,09:49:00,1800SB06501,09:50:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,BPT,000003,BPT000003,ZAP,I,0,1800SB06501,09:50:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,BPT,000004,BPT000004,ZAP,I,0,450030241,,09:30:00,450029849,09:55:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,BPT,000004,BPT000004,ZAP,I,0,450029849,09:55:00,09:55:00,450026982,09:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000004,BPT000004,ZAP,I,0,450026982,09:56:00,09:56:00,450022739,09:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000004,BPT000004,ZAP,I,0,450022739,09:56:00,09:56:00,450022737,09:57:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000004,BPT000004,ZAP,I,0,450022737,09:57:00,09:57:00,1800ED19791,10:23:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000004,BPT000004,ZAP,I,0,1800ED19791,10:23:00,10:23:00,1800EB17951,10:49:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000004,BPT000004,ZAP,I,0,1800EB17951,10:49:00,10:49:00,1800SB06501,10:50:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,BPT,000004,BPT000004,ZAP,I,0,1800SB06501,10:50:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,BPT,000005,BPT000005,ZAP,I,0,450030241,,10:30:00,450029849,10:55:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,BPT,000005,BPT000005,ZAP,I,0,450029849,10:55:00,10:55:00,450026982,10:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000005,BPT000005,ZAP,I,0,450026982,10:56:00,10:56:00,450022739,10:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000005,BPT000005,ZAP,I,0,450022739,10:56:00,10:56:00,450022737,10:57:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000005,BPT000005,ZAP,I,0,450022737,10:57:00,10:57:00,1800ED19791,11:23:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000005,BPT000005,ZAP,I,0,1800ED19791,11:23:00,11:23:00,1800EB17951,11:49:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000005,BPT000005,ZAP,I,0,1800EB17951,11:49:00,11:49:00,1800SB06501,11:50:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,BPT,000005,BPT000005,ZAP,I,0,1800SB06501,11:50:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,BPT,000006,BPT000006,ZAP,I,0,450030241,,11:30:00,450029849,11:55:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,BPT,000006,BPT000006,ZAP,I,0,450029849,11:55:00,11:55:00,450026982,11:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000006,BPT000006,ZAP,I,0,450026982,11:56:00,11:56:00,450022739,11:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000006,BPT000006,ZAP,I,0,450022739,11:56:00,11:56:00,450022737,11:57:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000006,BPT000006,ZAP,I,0,450022737,11:57:00,11:57:00,1800ED19791,12:23:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000006,BPT000006,ZAP,I,0,1800ED19791,12:23:00,12:23:00,1800EB17951,12:49:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000006,BPT000006,ZAP,I,0,1800EB17951,12:49:00,12:49:00,1800SB06501,12:50:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,BPT,000006,BPT000006,ZAP,I,0,1800SB06501,12:50:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,BPT,000007,BPT000007,ZAP,I,0,450030241,,12:30:00,450029849,12:55:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,BPT,000007,BPT000007,ZAP,I,0,450029849,12:55:00,12:55:00,450026982,12:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000007,BPT000007,ZAP,I,0,450026982,12:56:00,12:56:00,450022739,12:56:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000007,BPT000007,ZAP,I,0,450022739,12:56:00,12:56:00,450022737,12:57:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,BPT,000007,BPT000007,ZAP,I,0,450022737,12:57:00,12:57:00,1800ED19791,13:23:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,BPT,000007,BPT000007,ZAP,I,0,1800ED19791,13:23:00,13:23:00,1800EB17951,13:49:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
